Productcode;Barcode;Artikelcode;Productcode leverancier;Tags;Grading
143448714;8719632956464, 2950010970924;956464;956464;Grading;Blijft bij het opladen alleen maar knipperen, bij uren opladen, de stekker er uit, maar alsnog helemaal niet opgeladen – gaat niet aan| It just keeps blinking while charging, even after hours of charging. I remove the plug, but it is still not charged at all – it does not turn on| ????? ?? ?????? ????? ?????? ??? ??? ????? ?? ?????. ???? ??????? ???? ?? ???? ??? ????? ?????? – ?? ????.
143448715;8720195255574, 2950022427270, 2950026266486;255574;255574;Grading;De remotesensor maakt slechts zeer kort verbinding met het weerstation. Daarna valt verbinding weg. Ook de temperatuuraanduiding op de remotesensor is dan weg – Display blijft donker/product gaat niet aan – de sensor werkt niet| The remote sensor only makes a very short connection with the weather station. After that, the connection is lost. Also, the temperature display on the remote sensor disappears – the display stays dark/product does not turn on – the sensor is not working| ???? ????????? ?? ???? ???? ???????? ?? ???? ????? ????? ????? ???? ???. ??? ???? ????? ???????. ?????? ????? ??? ???? ??????? ??? ???? ????????? ?? ???? – ????? ??? ??????/?????? ?? ???? – ???? ????????? ?? ????.
143448722;8720195255598, 2950025719266, 2950021369137;255598;255598;Grading;De afstandsbediening werkt niet – lamp gaat niet aan| The remote control does not work – the lamp does not turn on| ???? ?????? ?? ???? ?? ???? – ??????? ?? ????.
143448729;8720195254027, 2950025484171;254027;254027;Grading;Het apparaat loopt leeg - het apparaat geeft kortsluiting zodra je hem aanzet op automaat – het apparaat gaat niet aan| The device drains quickly – the device short circuits as soon as you turn it on in automatic mode – the device does not turn on| ?????? ???? ????? – ?????? ???? ??? ????? ????? ?????? ?? ????? ???????? – ?????? ?? ????.
143448731;8720195255604, 2950025718689, 2950021408058;255604;255604;Grading;Geen deksel op de afstandsbediening – afstandsbediening werkt niet – de lamp gaat niet aan| No cover on the remote control – the remote control does not work – the lamp does not turn on| ?? ???? ??? ???? ?????? ?? ???? – ???? ?????? ?? ???? ?? ???? – ??????? ?? ????.
143448732;8720195256182, 2950026814311, 8721055565871, N/A;256182;256182;Grading;Als ik de stekker er in doe en op het knopje druk gebeurt er niks en wordt het apparaat na 30 seconde al gloeiend heet – product gaat niet aan – product is niet compleet – product werkt niet naar behoren| When I plug in the plug and press the button, nothing happens, and the device becomes very hot after 30 seconds – the product does not turn on – the product is incomplete – the product does not work properly| ????? ???? ?????? ????? ??? ????? ?? ???? ???? ????? ?????? ?????? ???? ??? 30 ????? – ?????? ?? ???? – ?????? ??? ???? – ?????? ?? ???? ???? ????.
143448734;8720195254362, 2950025702282, 2950016693230;254362;254362;Grading;Product laad niet op – product gaat niet aan| The product does not charge – the product does not turn on| ?????? ?? ???? – ?????? ?? ????.
143448741;8720195255079, 2950025718948;255079;255079;Grading;Product is incompleet – apparaat gaat niet aan geeft een foutmelding - valt na 5 minuten volledig uit. Product geeft aan opgeladen te zijn - stofzuiger wil niet verbinden met app - draait 50 seconden rondjes en geeft dan wheel error aan - Eén van de borstels draait niet en de automatische modus werkt niet. De stofzuiger moet op afstand worden bedienen om te kunnen navigeren en schoonmaken|The product is incomplete – the device does not turn on, shows an error message – turns off completely after 5 minutes. The product indicates that it is charged – the vacuum cleaner will not connect to the app – it spins in circles for 50 seconds and then shows a wheel error – one of the brushes does not spin, and the automatic mode does not work. The vacuum cleaner must be controlled remotely to navigate and clean|?????? ??? ???? – ?????? ?? ???? ????? ????? ??? – ????? ?????? ??? 5 ?????. ?????? ???? ??? ??? ????? – ??????? ?????????? ?? ???? ???????? – ???? ?? ????? ???? 50 ????? ?? ???? ????? ??? ?? ?????? – ??? ????? ?? ???? ?????? ???????? ?? ????. ??? ?????? ?? ??????? ?????????? ?? ???? ?????? ????????.
143457295;8719632955054, 2950005400986, 2950005400962;955054;955054;Grading;De kabel werkt niet en laadt niet op| The cable does not work and does not charge| ?????? ?? ???? ??? ????.
143457307;8720195251378, 8720195255338;251378;2950025702176;Stootrand, Grading;Werking + Scheuren? | Working and damaged? | ??????? + ???????
143457325;8720195252009, 2950020456814, 2950020513524;252009;252009;Grading;Gaat continu retour naar het laad station ondanks volledig opladen – lader werkt niet – product gaat niet aan| It continuously returns to the charging station despite being fully charged – the charger does not work – the product does not turn on| ???? ???????? ??? ???? ????? ??? ????? ?? ????? ?????? – ?????? ?? ???? – ?????? ?? ????.
143457347;8719632955078, 2950005927827;955078;955078;Grading;Laad niet op – doet het niet| Does not charge – it doesn’t work| ?? ???? – ?? ????.
143471908;8720195256656, 2950027525315, 8720195258049, B0C1T6XZSN;2950027525315;2950027525315, X001RA5IU7;Grading;Controleer product op defect en incompleetheid doordat het zeil gescheurd is, onderdelen ontbreken en het product instabiel en vervormd is. | Check product for defect and incompleteness as the tarp is torn, parts are missing and the product is unstable and deformed. | ???? ?? ?????? ????? ??? ???? ?????? ??? ?? ?????? ???? ????? ????? ?????? ??????? ??? ????? ?????.
143471909;8720195256830, 2950029260054;2950029260054;2950029260054;Grading;Onderdelen afgebroken - het frame is scheef, waardoor 1 wiel totaal niet rond draait - de pen ( bout) waarmee het linker zwenkwiel aan de kar vastzit is krom, waardoor het wiel zwabbert/ scheef staat – de wielen staan scheef – rijdt niet goed| Parts are broken – the frame is crooked, causing one wheel to not turn at all – the pin (bolt) that attaches the left swivel wheel to the cart is bent, causing the wheel to wobble/stand crooked – the wheels are misaligned – it doesn't drive properly| ??????? ?????? – ?????? ????? ??? ????? ?? ??? ????? ???? ??????? ??? ??????? – ?????? (???????) ???? ???? ?????? ???????? ?????? ??????? ?????? ??? ????? ?? ?????? ??????/?????? ????? – ??????? ??? ?????? – ?? ???? ???? ????.
143471913;8720195257127, 2950029487468;2950029487468;2950029487468;Stootrand, Grading;Beschadiging aan metaal | Damaged Metal parts
143471915;8720195257141, 2950029495173;2950029495173;LG1264;Grading;| Middelste paal defect, tas en doek hebben gaten, frame beschadigd | Middle pole defective, bag and fabric have holes, frame damaged | ?????? ?????? ????? ??????? ??????? ???? ????? ?????? ???? |
143471916;8720195257158, 2950029495166;2950029495166;2950029495166;Grading;Bij twee poten missen de pinnetjes waardoor de tent niet opgezet kan worden  (niet omhoog kan) – product is niet compleet – onderdelen zijn beschadigd| Two legs are missing the pins, so the tent cannot be set up (cannot be raised) – the product is incomplete – parts are damaged| ???? ????? ????????? ??? ?? ???? ????? ?????? (?? ???? ?????) – ?????? ??? ???? – ??????? ?????.
143471936;8720195257455, 2950030368138;257455;257455;Grading;Wieltje is kapot – veel gebruikssporen – product is niet compleet (geen adapter geen reinigings kam) – product laad niet op/gaat niet aan – stofzuiger valt steeds uit| The wheel is broken – a lot of signs of use – the product is incomplete (no adapter, no cleaning comb) – the product does not charge/does not turn on – the vacuum cleaner keeps shutting off| ?????? ?????? – ?????? ?? ?????? ????????? – ?????? ??? ???? (?? ???? ????? ?? ???? ??? ?????) – ?????? ?? ????/?? ???? – ??????? ?????????? ????? ????????.
143549994;8720195252115, 2950020524124;2950020524124;2950020524124;Omdoos, Grading;| Sapcentrifuge defect, stopt met draaien, plastic deksel/ring kapot, lekt sap, werkt niet, handleiding ontbreekt, verpakking onvoldoende beschermd | Juicer defective, stops working, plastic lid/ring broken, leaks juice, does not function, manual missing, packaging insufficiently protected | ????? ????? ?????? ????? ?? ?????? ????/???? ????????? ??????? ????? ??????? ?? ????? ?????? ?????? ??????? ??? ???? ???? ???? |
143549999;8719632956433, 2950025718924;2950010923883;2950010923883, 2950025718924;Grading;Het apparaat kan alleen gebruikt worden aan de oplader: zodra je hem hier vanaf haalt is hij niet werkbaar (gaat niet aan) – neemt niet op – product is niet compleet – product gaat niet aan - De recorder heeft hele erge ruis – knopje om door te spoelen werkt niet|The device can only be used while charging: as soon as you remove it from the charger, it does not work (does not turn on) – does not record – the product is incomplete – the product does not turn on – the recorder has severe noise – the button to skip does not work| ?????? ?? ???? ???????? ??? ????? ?????: ????? ?????? ?? ??????? ?? ???? (?? ??? ??????) – ?? ???? – ?????? ??? ???? – ?????? ?? ???? – ???? ??????? ????? ??? ????? ????? – ?? ?????? ?? ????.
143550001;8720195252214, 2950020641531;2950020641531;2950020641531;Grading;Product gaat niet aan – onderdelen ontbreken - de aan en uit knop werkt niet, waardoor de staafmixer constant aan blijft, en niet uitgezet kan worden| The product does not turn on – parts are missing – the on/off button does not work, causing the hand blender to stay on constantly and cannot be turned off| ?????? ?? ???? – ??????? ?????? – ?? ???????/????? ??????? ?? ????? ??? ???? ?????? ?????? ???? ???????? ??? ???? ??????.
143550004;8720195251637, 2950018038367;2950018038367;2950018038367;Grading;De vijzel werkt niet - de machine draait niet| The mortar does not work – the machine does not run| ?????? ?? ???? – ????? ?? ????
143550013;8720195253129, 2950022068848;2950022068848;2950022068848;Omdoos, Opvulling, Grading;| Waterkan gedeukt/gebroken, slecht verpakt, waterkoker werkt niet goed, temperatuurregeling defect | Water jug dented/broken, poorly packaged, kettle not working properly, temperature control defective | ????? ????? ?????/?????? ????? ???? ??????? ?? ???? ???? ????? ???? ??????? ???? |
143550017;8720195254355, 2950025702428;2950025702428;2950025702428;Grading;Jumpstarter laadt niet op – de zaklamp doet het niet – werkt niet| The jumpstarter does not charge – the flashlight does not work – it does not work| ???? ??? ??????? ?? ???? – ??????? ?????? ?? ???? – ?? ????.
143550018;8720195253617, 2950023742150;;;Grading;Ritsen zijn stuk en gaten in de rugzak – duidelijke gebruikssporen – gespje mist – onderdelen van de rugzak zijn kapot| The zippers are broken and there are holes in the backpack – clear signs of use – the buckle is missing – parts of the backpack are broken| ???????? ?????? ????? ???? ?? ????? ????? – ?????? ??????? ????? – ?????? ????? – ????? ?? ????? ????? ??????.
143597478;8719632956068;2950009721193;2950009721193;Grading;Het deken wordt niet warm| The blanket does not get warm| ???????? ?? ???? ?????.
143597495;8720195253556, 2950023741948;2950023741948;2950023741948;Grading;De aan- en uitknop werkt niet goed – de waterkoker lekt – water wordt niet warm| The on/off button does not work properly – the kettle leaks – the water does not get hot| ?? ???????/????? ??????? ?? ???? ???? ???? – ??????? ??? ????? – ????? ?? ????.
143597498;8720195254638, 2950025718955, 2950018317257;2950025718955;2950025718955, 2950018317257;Grading;Noice cancelling kraakt heel erg - de koptelefoon werkt maar aan een kant - slechte verbinding met de luidspreker - rare geluiden en ruis bij gebruik van noise-cancelling| The noise cancelling cracks a lot – the headphones only work on one side – poor connection with the speaker – strange sounds and noise when using noise-cancelling| ????? ??????? ???? ??????? ?????? – ???????? ???? ?? ???? ???? ??? – ??????? ???? ?? ??????? – ????? ????? ?????? ??? ??????? ????? ???????.
143597505;8720195255482, 2950025702381, 8719632956105, 2950009722497;2950025702381;2950025702381;Grading;| Stekker draad beschadigd, deken werkt niet, verkeerde kleur en te klein | Plug wire damaged, blanket does not work, wrong color and too small | ??? ?????? ????? ???????? ?? ????? ????? ???? ?????? ???? ?? ????? |
143597506;8720195255505, 2950025324767;2950025702459;2950025702459;Grading;| Elektrische deken doet het niet, geen warmte, lampjes branden niet, mogelijk gebruikt | Electric blanket does not work, no heat, lights do not turn on, possibly used | ???????? ?????????? ?? ????? ?? ????? ??????? ?? ????? ???? ??????? |
143597515;8720195254799, 2950025654390;2950025654390;2950025654390;Grading;Product gaat niet – product word niet warm - massage kussen kraakt en valt na +/- minuut uit| The product does not work – the product does not get warm – the massage cushion cracks and turns off after about a minute| ?????? ?? ???? – ?????? ?? ???? – ????? ??????? ???? ??????? ????? ??? ????? ?????.
143597516;8720195254379, 2950020698634, 2950025702015;2950025702015;2950025702015;Grading;Projector stelt niet scherp – vlek in het beeldscherm – het licht schijnt niet op de muur - de ventilator werkt niet, waardoor er een zwarte vlek ontstaat die steeds groter wordt totdat de projector zichzelf uiteindelijk uitschakelt vanwege oververhitting|The projector does not focus – there is a stain on the screen – the light does not project onto the wall – the fan does not work, causing a black spot to appear that keeps growing until the projector eventually shuts down due to overheating|???? ????? ?? ???? ??????? – ???? ???? ??? ?????? – ????? ?? ????? ??? ?????? – ??????? ?? ????? ??? ???? ??? ???? ???? ????? ???? ???????? ??? ????? ???? ????? ?? ????? ???? ?????? ???????.
143597520;8720195253853, 2950025195367;2950025195367;AU3151;Omdoos, Opvulling, Grading;Product is vies – gaat niet aan – lekt olie zodra die aan staat – wordt niet warm| The product is dirty – does not turn on – leaks oil when turned on – does not get warm| ?????? ???? – ?? ???? – ???? ????? ??? ?????? – ?? ????.
143634610;8720195255628, 2950026007676;2950026007676;2950026007676;Grading;Product gaat niet aan – product wordt niet warm - product mist schroeven en valt uit elkaar, de pootjes missen waardoor hij incompleet is en niet rechtop kan staan en er is geen verpakking of handleiding - de kachel wordt warm maar na een korte tijd valt de kachel uit en verspreid een verbrandde geur| The product does not turn on – the product does not get warm – the product is missing screws and falls apart, the legs are missing, making it incomplete and unable to stand upright – there is no packaging or manual – the heater gets warm but shuts off after a short time and emits a burnt smell| ?????? ?? ???? – ?????? ?? ???? – ?????? ????? ??????? ??????? ?????? ?????? ??? ????? ??? ????? ??? ????? ?????? ???? ?????? – ?? ???? ????? ?? ???? – ??????? ???? ?????? ????? ??? ??? ???? ????? ????? ??????.
143634614;8720195253679, 2950024348726;;;Grading;Controleer product op defect en incompleetheid doordat het product gebruikt is geleverd, niet goed opent en een gebarsten maatbeker heeft waardoor sap lekt. | Check product for defect and incompleteness as it was delivered used, does not open properly, and has a cracked measuring cup causing leakage. | ???? ?? ?????? ????? ??? ???? ?????? ??? ?? ??????? ???????? ??? ???? ???? ???? ????? ??? ???? ????? ????? ?? ???? ??????.
144045149;0633911812921, 2950026291440;;;Grading;De clip van de krultang sluit heel slecht om het haar, het haar glijdt er tussen uit| The clip of the curling iron does not close properly around the hair, causing the hair to slip out| ?????? ?? ????? ??????? ?? ???? ????? ??? ?????? ??? ???? ??? ?????? ?????|
144287262;8718657958194, 2950051580977;8194;FH-CH005D, 2950051589994;Grading;Controleer product op defect en incompleetheid doordat schroefdraad ontbreekt, onderdelen verbogen of beschadigd zijn en het product niet correct gemonteerd kan worden. | Check product for defect and incompleteness as threads are missing, parts are bent or damaged, and the product cannot be assembled correctly. | ???? ?? ?????? ????? ??? ???? ?????? ??? ?? ?????? ?????? ???????? ?????? ?? ????? ??? ???? ????? ?????? ???? ????.
144424487;8720707180448, 2950026853198;8720707180448;8720707180448;Grading;app niet beschikbaar | app not available | ??????? ??? ????
144456966;7611210980360, X001GVVMN9, B09DS73PB4, 2950021177565, 7611210980353;98036;98036;Omdoos, Grading;waterreservoir kapot, buitenkant beschadigd | water reservoir broken, exterior damaged | ???? ????? ?????? ????? ??????? ????0
144521962;8719075228470, 2950030224106;GG0971;GG0971, X001HK8GLF,;Grading, Damaged;De glazen bol is gebroken| The glass ball is broken| ????? ???????? ??????.
144600614;8720195254232, 2950025661985;2950025661985;2950025661985;Grading;| Neemt geen vocht op, dashbord werkt niet | Does not absorb moisture, dashboard does not work | ?? ???? ???????? ???? ?????? ?? ???? |
144669823;5706751028212, 2950013397438;DAB-36;DAB-36;Grading;| Radio/apparaat gaat niet aan, geen zichtbare andere defecten. | Radio/device does not turn on, no other visible defects. | ???????/?????? ?? ????? ?? ???? ????? ????? ????. |
144669828;5706751035883, 2950013397391;DAB-18;DAB-18;Grading;Radio valt uit – Radio gaat niet aan – de aan/uit knop doet het niet| Radio cuts out – Radio doesn’t turn on – the power button doesn’t work| ??????? ????? – ??????? ?? ???? – ?? ???????/??????? ?? ????
144669844;5706751037894, 2950015978772;CRL-340;CRL-340;Grading;Diverse functie die erop zitten werken niet (Lichtkleur, wekgeluiden, volume harder/zachter) -knoppen doet het niet zoals aangegeven in de gebruiksaanwijzing - snooze is te snel uitgeschakeld wanneer je een willekeurige knop aanraakt| Various functions don’t work (light color, alarm sounds, volume up/down) – buttons don’t respond as described in the manual – snooze turns off too quickly when any button is touched| ??? ????? ?? ???? (??? ???????? ????? ??????? ???/??? ?????) – ??????? ?? ???? ??? ?? ????? ?? ???? ????????? – ????? ?????? ????? ????? ??? ??? ?? ??
144669855;5706751063954, 2950027453465;BPS-352;BPS-352;Grading;Lampje op bedieningspaneel defect - Bedieningspaneel licht niet op - schakelt automatisch uit en blijft niet aan – het geluid is niet goed| Light on the control panel is defective – Control panel doesn’t light up – switches off automatically and doesn’t stay on – the sound is not good| ??? ???? ?????? ????? – ???? ?????? ?? ???? – ??? ????? ??????? ???????? ??? ???? ?????? ??? ??????? – ????? ??? ?????
144683603;7611210980810, X001NXNCGP, B0BHH1MKPF, 2950026835606, 7611210980070;98081;98081;Grading;werkt niet, interne fout, druk pomp te laag, incompleet | does not work, internal error, pump pressure too low, incomplete | ?? ????? ??? ?????? ??? ?????? ????? ????? ??? ?????
144716870;8719326625942;2950016905906;2950016905906;Grading;Het apparaat laat de laser (het zwaartepunt) niet los wanneer de knop om wordt gedraaid, waardoor het niet waterpas komt te staan| The device does not release the laser (center of gravity) when the knob is turned, causing it to become unlevel.| ?? ???? ?????? ?????? ?????? (???? ????????) ??? ????? ??????? ??? ???? ??? ??? ???????.
144716877;8719326634760;2950010653902;2950010653902;Grading;Product wordt niet aan twee kanten warm – Het product valt uit – het product laad niet op – na een paar keer gebruik scheurt de stof| Product does not heat up on both sides – Product shuts down – Product does not charge – Fabric tears after a few uses| ?????? ?? ???? ??? ??? ???????? - ?????? ???? - ?????? ?? ???? - ?????? ????? ??? ??? ?????????
144716878;8719326634739, 2950010826030;2950010826030;;Grading;Maakt bij draaibeweging naar een kant toe een raar geluid – het product wordt niet warm – product laad niet op – Product kan niet 2 uur draadloos gebruikt worden| Makes a strange noise when turning to one side – Product does not heat up – Product does not charge – Product cannot be used wirelessly for 2 hours| ???? ????? ?????? ??? ??????? ??? ???? ???? - ?????? ?? ???? - ?????? ?? ???? - ?? ???? ??????? ?????? ???????? ???? ??????
144716884;8719327429662;2950024343943;2950024343943;Grading;Product laad niet op – product doet het na 5 minuten al niet meer| Product not charging – product stops working after 5 minutes| ?????? ?? ???? - ????? ?????? ?? ????? ??? 5 ?????
144716888;8720726233040;2950027544750;2950027544750;Grading;Product valt uit zodra er druk op komt – product gaat niet aan – product gaat heel kort aan daarna weer uit| Product shuts down as soon as pressure is applied – product does not turn on – product turns on very briefly then turns off again| ??? ????? ????? ?????? ????? ????? ???? - ?? ??? ????? ?????? - ??? ????? ?????? ????? ????? ???? ?? ??? ????? ?????? ??? ????
144716890;8720726233057;2950027544811;2950027544811;Grading;Het apparaat gaat niet aan – het apparaat laadt niet op, en doet 't alleen als die aan de lader zit - de knopjes zijn moeilijk in te drukken vooral de laatste- toestel werkt alleen als in de stopcontact zit|The device does not turn on – it does not charge and only works when connected to the charger – the buttons are hard to press, especially the last one – the device only works when plugged into a power outlet|?????? ?? ???? – ?? ???? ????? ??? ??? ?????? ??????? – ??????? ???? ?????? ???? ???? ?????? – ?????? ???? ??? ??? ?????? ????? ????????
144716892;8720726233132;2950030179697;2950030179697, MA-15-NL;Grading;Product gaat niet aan ook niet na het opladen| Product does not turn on even after charging| ?? ??? ????? ?????? ??? ??? ?????
144717243;8720246581256, LPNA037914295, X001A98C4T, X001A91L7T;T-S3;T-S3;Grading;Gaat niet aan | Does not work |
144852112;8720256940357, 2950031270485;BL200;BL200;Grading;Product stopt er na een tijd mee – Er komt rook uit de blender| Product stops working after a while – Smoke comes out of the blender| ????? ?????? ?? ????? ??? ???? – ???? ???? ?? ??????
144852115;8720256940258, 2950023016862;HB100;HB100;Grading;Vloeistof loopt gelijk uit de blender – beker is defect – product werkt niet| Liquid runs straight out of the blender – cup is defective – product does not work| ???? ?????? ?? ?????? ??? ????? - ????? ???? - ?????? ?? ????.
145365420;8719326785691;2950014837063 ;2950014837063 ;Grading;Gaat niet aan – werkt niet| Does not turn on – does not work| ?? ???? - ?? ????
145365422;8719327248522;2950014837070 ;2950014837070 ;Grading;USB poort is stuk - onderdeel is los – afstandsbediening is kapot| USB port is broken - part is loose - remote control is broken| ???? USB ????? - ????? ???? - ???? ?????? ?? ??? ?????
145365424;8719327248546, 2950014762525;2950014762525;2950014762525;Grading;Product heeft geen aansluit contact – lamp gaat niet aan - de laser doet het niet, waardoor er geen sterren zijn| Product has no connection contact - lamp does not turn on - laser does not work, resulting in no stars| ?? ????? ?????? ??? ??? ????? ????? - ??????? ?? ???? - ?????? ?? ????? ???? ?? ???? ????
145365428;8720387806195, 2950019752316;2950019752316 ;2950019752316 ;Grading;Een van de twee accu’s laad niet op/doet het niet – product gaat niet aan| One of the two batteries is not charging/not working – product will not turn on| ???? ?????????? ?? ????/?? ???? - ?????? ?? ????
145365430;8720387806430, 2950020489058 ;2950020489058 ;2950020489058 ;Grading;Een van de twee accu’s laad niet op /doet het niet| One of the two batteries is not charging/not working| ???? ?????????? ?? ??? ?????/?? ????
145365434;8720387806614, 2950021288803;2950021288803 ;2950021288803 ;Omdoos, Grading;Controleer product op defect en beschadiging doordat accu snel leeg is, het apparaat uitvalt en knoppen niet goed werken. | Check product for defect and damage as the battery drains quickly, the device shuts down and buttons do not work properly. | ???? ?? ?????? ????? ??? ???? ??? ???? ???????? ????? ?????? ?????? ????? ??????? ???? ??? ????.
145365455;8720618695031;2950027709005;2950027709005;Grading;Product gaat eindeloos door zonder timer – de melk word niet warm – maakt een raar geluid – gaat niet aan| Product runs endlessly without timer – milk does not heat – makes strange noise – does not turn on| ???? ?????? ??? ?? ?? ????? ???? ???? - ?????? ?? ???? - ???? ????? ?????? - ?? ????
145365461;8720618695086, 2950027953996;2950027953996 ;2950027953996 ;Grading;werkt niet, aan/uit knop blijft vast, motor blokkeert, motor ruikt verbrand, zaagrichting mogelijk fout | not working, power button sticks, motor blocks, motor smells burnt, saw direction possibly wrong | ?? ????? ?? ??????? ????? ?????? ?????? ?????? ?? ????? ??????? ????? ??????? ?? ???? ????
145365464;8720618695109;2950027954023;2950027954023;Grading;Beveiliging gaat er niet af – een van de twee accu’s doet het niet – gaat niet aan| Security won't come off - one of the two batteries doesn't work - won't turn on| ?????? ?? ????? - ???? ?????????? ?? ???? - ?? ??? ??????
145365465;8720618695116, 2950027954054, 2950042556394;2950027954054 ;2950027954054 ;Grading;niet versleten, -inclusief rond mes -enkele rechte messen -plastic rechte messen en moertje
145365479;8720618695222, 2950029007727;2950029007727 ;2950029007727 ;Grading;Product gaat niet aan – kan niet verbinden| Product does not turn on – cannot connect| ?????? ?? ???? - ?? ???? ???????
145365494;8720618695345, 2950030567340;2950030567340 ;2950030567340 ;Grading;De blokjes blijven niet hard maar smelten - het apparaat zegt steeds dat er water bij gevuld moet worden terwijl er genoeg water in zit - de machine geeft systematisch een waterpeilfout| The cubes do not stay hard but melt - the machine keeps saying that water needs to be added while there is enough water in it - the machine systematically gives a water level error| ?? ???? ???????? ???? ?? ???? - ????? ?????? ?? ??????? ??? ??? ??? ????? ????? ??? ????? ?? ???? ???? ????? ?? ????? - ???? ?????? ??? ?? ????? ????? ???? ?????
145365496;8720618695369;2950030531549;2950030531549;Grading;De blokjes blijven niet hard maar smelten - het apparaat zegt steeds dat er water bij gevuld moet worden terwijl er genoeg water in zit - de machine geeft systematisch een waterpeilfout| The cubes do not stay hard but melt - the machine keeps saying that water needs to be added while there is enough water in it - the machine systematically gives a water level error| ?? ???? ???????? ???? ?? ???? - ????? ?????? ?? ??????? ??? ??? ??? ????? ????? ??? ????? ?? ???? ???? ????? ?? ????? - ???? ?????? ??? ?? ????? ????? ???? ?????
145365505;8720618695451;2950031286479;2950031286479;Grading;De knoppen werken niet – een van de kolven gaat niet aan/laad niet op – het product is vies – silicone elementen passen niet perfect in elkaar| Buttons do not work – One of the pumps does not turn on/charge – Product is dirty – Silicone elements do not fit together perfectly| ??????? ?? ???? - ???? ???????? ?? ????/?? ??? ????? - ?????? ???? - ????? ????????? ?? ?????? ???? ?????
145365522;8720618695642;2950031425076 ;2950031425076 ;Grading;Product geeft foutmelding – het product laad niet op/ gaat niet aan| Product gives error message – product does not charge/turn on| ???? ?????? ????? ??? - ?????? ?? ????/?? ????
145365526;8720618695680, 2950032505623;2950032505623;2950032505623;Grading;Het apparaat gaat niet aan – warmt alleen op draait niet| The appliance does not turn on – only heats up and does not rotate| ?? ??? ????? ?????? - ??? ???? ??? ????
145365527;8720618695697;2950032505647;2950032505647;Grading;schade, kap scheur, opschuimer draait niet, verwarmt wel, chemische geur | damage, lid cracked, frother not spinning, heats up, chemical smell | ???? ?????? ?????? ?????? ?? ????? ????? ????? ????????
145383543;8720256879749, 2950020999830;2950020999830;2950020999830;Grading;kabel blijft los, connector in toetsenbord, kapotte kabel, niet werkend | cable does not stay, connector in keyboard, cable broken, not working | ?????? ?? ???? ??????? ?????? ?? ???? ????????? ?????? ?????? ?? ????
145383545;8720256879824, 2950021241402;2950021241402;2950021241402;Grading;| Incompleet, muisaanwijzer werkt niet | Incomplete, mouse pointer does not work | ??? ?????? ???? ?????? ?? ???? |
145383555;8720195255154, 2950025702251, X001R6MKHF;2950025702251;2950025702251, X001R6MKHF;Grading;Het apparaat gaat niet aan – product laad niet op| The device does not turn on – the product does not charge| ?????? ?? ???? – ?????? ?? ????.
145635284;8720246586466;F-IG;F-IG;Grading;| Onderkant kapot, scharnier warmhoudplaat gebroken, beschadiging voorkant, touchknoppen deels defect. | Bottom broken, warming plate hinge broken, front damaged, touch buttons partially defective. | ????? ?????? ?????? ????? ????? ??????? ??????? ?????? ????? ????? ????? ????? ??????. |
145768871;8720387757336, 2950027542572;8720387757336;8720387757336;Grading;| Bubbels werken niet, voetbad beschadigd en gebruikt, schimmel aanwezig | Bubbles do not work, foot bath is damaged and used, mold present | ???????? ?? ????? ??? ????? ???? ???????? ???? ??? |
145768976;8720872930121;8720872930121;8720872930121;Grading;knippert en piept, stopt halverwege cyclus, weinig ijs, waterdetectie fout, apparaat werkt onregelmatig | blinks and beeps, stops mid-cycle, few ice cubes, water detection error, machine works irregularly | ???? ????? ????? ????? ?? ????? ??????? ?????? ??? ?????? ??? ?? ?????? ?????? ?????? ???? ???? ??? ?????
146162454;8435484059244;059244;059244;Stootrand, Grading;Barsten - damaged - ?????? + ????
146291987;8011607315062;2950025621712;2950025621712;Grading;poeder gebroken in bakje | powder broken in container | ??????? ????? ?? ??????
146400263;8720195255871, 2950026594312;AU3172;AU3172;Grading;Het water reservoir is gebroken - er komt geen stoom uit – product wordt wel warm, maar er komt zelfs na 5 minuten opwarmen nog geen stoom uit| The water reservoir is broken – no steam comes out – the product does get warm, but even after 5 minutes of heating, no steam is released| ???? ?????? ????? – ?? ???? ?? ???? – ?????? ????? ???? ??? ??? 5 ????? ?? ???????? ?? ???? ?? ????.
146508926;8720195257110, 2950029437951;2950029437951;2950029437951, KB765;Omdoos, Grading;| Verwarmt niet, maakt geluid, handvat beschadigd, linker gedeelte werkt niet | Does not heat, makes noise, handle damaged, left section does not work | ?? ????? ???? ???? ?????? ????? ????? ?????? ?? ???? |
146597732;0736542306545, 25058941;OP70843;OP70843;Grading;Product is niet compleet - de schroefgaten zijn te klein voor de schroeven – product kan niet volledig gemonteerd worden| Product is not complete – the screw holes are too small for the screws – product cannot be fully assembled| ?????? ??? ????? - ????? ??????? ????? ???? ??????? ??????? - ?? ???? ????? ?????? ???????.
146598206;6970866972749, 6940350892631, 17021334;CM20537;CM20537;Grading;De stekker mist een pin – de stekker is defect| The plug is missing a pin – the plug is defective| ?????? ????? ?????? – ?????? ????.
146598207;6970866972787, 6940350892716;CM20541;CM20541;Grading;Ster is beschadigd – standaard mist - kerstboom is groter dan de bestelde grootte| Star is damaged – stand is missing – Christmas tree is larger than the ordered size| ?????? ????? - ??????? ?????? - ???? ????????? ???? ?? ????? ???????.
146599192;0617748479953, 01073028;HW64484WH;HW64484WH;Grading;spiegel gebroken, beschadigd | mirror broken, damaged | ?????? ??????? ?????
